Parameters for Naive Bayes
Oh 1 0 1
Oh, 1 1 0
Ok. 1 0 1
On 3 0 3
One 11 5 6
Only 1 1 0
Ordered 3 1 2
Otherwise, 1 0 1
Our 9 9 0
Overall 1 1 0
Overall, 1 1 0
Overpriced, 1 1 0
POINT 1 1 0
Paloma 1 1 0
Parking 1 0 1
Pastor. 1 0 1
Peacock 1 0 1
Per 1 0 1
Perfect 2 2 0
Phenomenal 1 1 0
Pick 1 1 0
Pizza 2 2 0
Please 3 0 3
Pluto 1 0 1
Point 5 5 0
Point! 1 1 0
Poisoning' 1 0 1
Poland, 1 0 1
Politely 1 0 1
Pollo 1 0 1
Pom 1 1 0
Poor 1 0 1
Portions 2 1 1
Post 1 0 1
Potter 1 1 0
Pretentious 1 0 1
Price: 1 0 1
Prices 1 0 1
Princeton 16 9 7
Princeton! 2 2 0
Princeton's 1 0 1
Princeton, 3 2 1
Princeton. 9 8 1
Princetonian 1 1 0
Professional, 1 0 1
Pros 1 0 1
Pros: 1 0 1
Pulp 1 0 1
Qdoba 3 0 3
Queen 1 1 0
Quick 1 1 0
Ravioli 1 1 0
Raviore 1 0 1
Reading 1 1 0
Real 1 0 1
Really 2 2 0
Really? 1 0 1
Republic, 1 0 1
Restaurant 2 0 2
Restaurants 1 1 0
Rib 1 0 1
Ricotta 1 1 0
Rider 1 1 0
Right 2 1 1
Robert, 1 1 0
SERIOUS 1 0 1
SEVERE 1 0 1
STAY 1 0 1
Salad 2 1 1
Salmon 1 1 0
Salmon: 1 1 0
San 1 0 1
Sancerre. 1 1 0
Sandwhich 1 0 1
Santa 1 0 1
Sashimi 1 0 1
Saturday 2 1 1
Saturday. 2 1 1
Sauce 1 0 1
Scallops 1 1 0
Scallops, 1 1 0
Scallops. 1 1 0
School 1 1 0
Scott 3 0 3
Se 1 0 1
Sea 1 1 0
Seabass 2 2 0
Seared 1 1 0
Seasonal 1 0 1
Second 2 1 1
Second, 1 1 0
Seriously, 1 0 1
Service 17 13 4
Service: 1 0 1
Shame 1 0 1
She 7 4 3
Shell 1 0 1
Short 2 2 0
Shrimp 1 1 0
Since 1 1 0
Small, 1 1 0
So 6 4 2
Some 2 0 2
Somebody 1 0 1
Someone 1 1 0
Something 3 0 3
Souflee 1 0 1
Soup 1 0 1
Spend 1 0 1
Squash 1 0 1
Staff 1 1 0
Starters: 1 1 0
Starting 1 1 0
Steal 1 0 1
Stone 1 0 1
Such 2 2 0
Sun. 1 1 0
Sunday 3 1 2
Super 2 1 1
Sure, 1 0 1
Sweden, 1 0 1
Switzerland, 1 0 1
Swordfish 1 1 0
TBH, 1 1 0
THINGS 1 0 1
TOO 1 0 1
Taco 1 0 1
Tacoria. 1 0 1
Tartare 1 1 0
Tartare, 1 1 0
Taste 1 0 1
Tasted 1 0 1
Tasteless. 1 0 1
Taylor 1 1 0
Tex-Mex 1 0 1
Texan 1 0 1
Thank 3 3 0
Thanks 2 1 1
Thanks, 1 0 1
That 5 1 4
The 130 60 70
Their 1 1 0
Then 4 2 2
There 5 3 2
There's 1 1 0
They 31 9 22
Things 1 0 1
This 31 8 23
This). 1 1 0
Three 1 0 1
Thur 1 1 0
Till 1 1 0
To 1 1 0
Today 1 1 0
Tomato 1 1 0
Tonight 1 1 0
Too 1 1 0
Took 1 0 1
Top 2 2 0
Total 1 1 0
Totally 2 1 1
Tues 1 1 0
Tuesday 1 0 1
Tuna 3 3 0
Two 1 0 1
Tyler!) 1 1 0
U.K., 1 0 1
Uncontrollable 1 0 1
Unexpectedly 1 1 0
Unfortunately, 1 0 1
Unfriendly 1 0 1
University 1 1 0
Update. 1 0 1
Upon 1 0 1
Upscale/cool. 1 0 1
Utterly 1 0 1
Valet 1 0 1
Very 11 3 8
Virginia 4 4 0
Virginia! 1 1 0
Virginia, 1 1 0
Visited 1 1 0
WOW! 1 1 0
Waiter 1 1 0
Walked 2 0 2
Was 3 0 3
We 66 47 19
Wed... 1 1 0
Wednesday 1 0 1
Well, 3 0 3
Went 1 1 0
What 3 3 0
When 8 1 7
Whenever 1 1 0
Which 2 2 0
While 1 0 1
Whoever 1 0 1
Why 1 0 1
Will 7 6 1
Wish 2 2 0
With 3 2 1
Witherspoon, 1 0 1
Without 1 0 1
Worth 1 0 1
Would 3 2 1
Yelp 2 0 2
Yelp. 1 1 0
Yes, 2 2 0
York 1 0 1
Yorker 1 1 0
You 8 4 4
Yuk. 1 0 1
a 331 142 189
a$$hole 1 0 1
a$$hole- 1 0 1
able 7 5 2
about 23 5 18
about. 1 0 1
above 1 0 1
above--they 1 0 1
absolute 1 1 0
absolutely 9 8 1
abysmal. 1 0 1
access 1 0 1
accommodate 2 0 2
accommodating! 1 1 0
accommodating!! 2 2 0
accommodating, 1 1 0
accompanying 1 0 1
accounts 1 0 1
acknowledged 1 0 1
across 3 2 1
acts 1 0 1
actual 2 0 2
actually 3 1 2
add 3 1 2
added 5 0 5
added. 1 1 0
addition 2 2 0
addition, 2 0 2
additional 1 1 0
additions 1 0 1
additions, 1 0 1
address 1 0 1
adhered 1 1 0
adjacent 1 0 1
aesthetics: 1 1 0
after 14 5 9
afternoon 2 2 0
afternoon. 1 0 1
afterwards 1 0 1
again 6 3 3
again! 2 2 0
again!! 2 2 0
again!!! 1 1 0
again, 2 1 1
again. 5 3 2
again... 1 0 1
aged 1 1 0
aging 1 1 0
agnoloti. 1 1 0
agnolotti 1 1 0
ago 1 0 1
ago, 1 0 1
ago. 1 0 1
agony 1 1 0
agreed, 1 0 1
ahead 1 0 1
ahead, 1 0 1
ahi 1 1 0
al 3 1 2
alas 1 1 0
alcohol 1 0 1
alive, 1 0 1
all 41 17 24
all, 2 1 1
all-around 1 1 0
all. 1 0 1
allergies 1 0 1
allergies, 1 0 1
allergies. 2 0 2
allergies? 1 0 1
allergy 5 0 5
allergy. 5 0 5
alley 1 1 0
almost 6 2 4
almost. 1 0 1
alone 1 1 0
alone. 1 0 1
alongside 1 1 0
alot 1 0 1
already 3 1 2
also 26 18 8
although 4 3 1
always 19 15 4
am 7 4 3
amazing 8 8 0
amazing! 1 1 0
amazing). 1 1 0
amazing, 1 1 0
amazing. 5 5 0
ambiance 2 2 0
ambiance, 2 2 0
ambiance. 1 1 0
ambience 2 2 0
ambitious 1 0 1
american 1 0 1
amount 7 5 2
amounts 2 0 2
amuse 2 0 2
amuses, 1 0 1
amuses. 1 0 1
amusing. 1 0 1
an 47 18 29
and 522 282 240
angel 1 0 1
angry 1 0 1
anise 1 0 1
anniversary 1 0 1
annoyed 1 0 1
another 12 5 7
answer, 1 0 1
answer. 1 0 1
answers. 1 0 1
ante. 1 0 1
anticipating 1 0 1
anxiety 1 0 1
anxiously 1 0 1
any 11 5 6
anymore. 1 0 1
anyone 5 4 1
anyone. 1 0 1
anything 6 3 3
anytime 2 1 1
anyway 1 1 0
anyway. 2 0 2
anywhere 1 1 0
apart. 1 1 0
apologetic 1 0 1
apologies. 1 0 1
apologize 1 0 1
apologize, 1 0 1
apologized. 1 1 0
app 3 2 1
app. 2 2 0
apparently 1 0 1
appearance 1 1 0
appeared 1 1 0
appetite 2 0 2
appetite. 1 0 1
appetizer 6 4 2
appetizers 3 1 2
appetizers. 1 0 1
appetizers: 1 1 0
appetizing. 1 1 0
apple 4 2 2
apple, 1 0 1
appreciated 2 2 0
are 53 21 32
are: 1 1 0
area 6 6 0
area! 2 2 0
area, 1 1 0
area- 1 1 0
area. 4 3 1
area... 1 0 1
argue. 1 0 1
arm 1 0 1
arms 2 1 1
around 11 4 7
arrangements 1 0 1
arrived 1 0 1
arrogance 1 0 1
arrogant 2 0 2
arrogantly 1 0 1
artisan 2 1 1
as 54 23 31
asada 2 0 2
ashamed 1 0 1
ask 2 0 2
asked 8 0 8
asked, 1 0 1
asking 2 0 2
asparagus 2 1 1
aspects 1 1 0
associate 1 0 1
assortment 1 1 0
assure 1 0 1
at 57 11 46
ate 6 1 5
atmosphere 7 7 0
atmosphere. 4 3 1
attack 1 0 1
attempted 1 0 1
attempts 1 0 1
attention. 2 0 2
attentive 6 3 3
attentive. 3 2 1
attitude 1 0 1
attitude. 1 0 1
attractive 1 0 1
authentic 1 0 1
available, 1 0 1
average 1 0 1
avocado 2 0 2
avocado) 1 0 1
avocado. 1 0 1
avoid 1 0 1
avoiding 1 0 1
awaited 1 0 1
aware 1 0 1
away 3 0 3
away. 2 0 2
awesome 7 6 1
awesome!!! 1 1 0
awesome, 2 2 0
awful. 1 0 1
awhile. 1 1 0
awkward 1 0 1
baby 3 2 1
back 30 21 9
back! 3 2 1
back!! 1 1 0
back, 1 1 0
back. 4 3 1
back... 1 0 1
bacon), 1 1 0
bad 10 0 10
bad, 1 0 1
bad. 2 0 2
badge 1 0 1
balanced 1 1 0
ballet 1 1 0
balsamic 1 1 0
banana 1 1 0
banging 1 1 0
bank 2 0 2
bar 2 0 2
bar! 1 0 1
bar, 1 0 1
bar. 3 1 2
barely 1 0 1
bartender 3 1 2
bartender. 1 0 1
bartenders 1 0 1
based 3 2 1
basement 1 1 0
basically 1 1 0
basing 1 1 0
bass 3 3 0
bass, 1 1 0
bass. 2 2 0
bath 1 0 1
be 60 23 37
be. 1 1 0
beans 1 0 1
beans. 1 0 1
beat 1 1 0
beautiful 6 3 3
beautifully 2 1 1
beaver 1 0 1
became 1 0 1
because 20 7 13
become). 1 0 1
beef 3 2 1
been 27 12 15
beer 3 3 0
beer! 1 1 0
beet 3 2 1
before 8 5 3
before. 1 0 1
began 1 0 1
being 11 2 9
beings. 1 0 1
believes 1 0 1
belly 2 2 0
belly. 1 0 1
belongs 1 0 1
benedict 1 1 0
bent 1 1 0
besides 1 0 1
best 21 12 9
best, 1 0 1
bet 1 1 0
better 8 5 3
between 5 3 2
beyond 1 0 1
bi 1 1 0
biased 1 1 0
big 4 4 0
bigger 4 1 3
biggest 1 0 1
bill 6 0 6
bill. 1 0 1
bird 2 0 2
bird's 1 0 1
birthday 8 8 0
birthday! 1 1 0
bisque. 3 3 0
bit 5 2 3
bite 1 0 1
bites 1 1 0
bites). 1 0 1
bites, 1 0 1
bitter 1 0 1
black 2 1 1
bland 2 0 2
bland, 1 0 1
bland. 2 0 2
blocks 1 0 1
blood 1 0 1
bloody 1 0 1
bloom 1 0 1
blueberry 3 3 0
blush 1 0 1
board 1 1 0
boat 1 0 1
boiled 1 0 1
bold 1 1 0
bonus 1 0 1
book. 1 0 1
boot. 1 0 1
bordered 1 0 1
bored 1 0 1
both 10 7 3
bothersome, 1 1 0
bottle 2 1 1
bouche 1 0 1
bought 1 0 1
bowl 5 0 5
boy 1 0 1
boyfriend 4 1 3
braised 1 1 0
brave 1 0 1
brawl. 2 0 2
bread 1 0 1
bread. 1 1 0
bread... 1 0 1
breathtaking 1 0 1
bridal 1 1 0
bring 1 1 0
broken. 1 0 1
bronzino 2 2 0
brother, 1 1 0
brought 2 1 1
brown, 1 1 0
brunch 5 4 1
brunch! 1 1 0
brunch, 1 1 0
brunch. 3 3 0
brussels 1 0 1
buffalo 2 2 0
build 1 0 1
building 1 0 1
bulli 1 0 1
bullshitting. 1 0 1
bun 1 1 0
bun. 1 1 0
bunch 1 1 0
burger 7 6 1
burger! 1 1 0
burger, 2 2 0
burgers 1 1 0
burned 1 0 1
burning 1 0 1
burnt. 1 1 0
burrata 2 2 0
burrata, 1 1 0
burrito 6 0 6
burrito. 1 0 1
burritos 2 0 2
burritos. 1 0 1
bus 1 0 1
businesses 1 0 1
bussing 1 0 1
bust. 1 0 1
busy 2 1 1
but 79 35 44
but, 1 0 1
butter 4 3 1
butter, 1 1 0
butter. 1 1 0
buy 1 0 1
by 28 8 20
byob 1 1 0
cake 9 3 6
cakes 4 4 0
cakes. 2 2 0
calamari 1 1 0
calamari, 2 2 0
caliber, 1 0 1
call 6 2 4
called 9 1 8
calm 1 0 1
came 16 7 9
camouflage 1 0 1
campus. 1 0 1
can 19 10 9
can't 9 5 4
cancel 1 0 1
cannot 4 2 2
cant 1 1 0
cappuccino 1 1 0
car 2 0 2
caramel 1 1 0
care 2 1 1
care. 1 0 1
cared 1 0 1
carefully 1 1 0
carne 2 0 2
carried 2 1 1
carrot 3 3 0
carte 1 0 1
carte,appetizers 1 0 1
carte. 2 0 2
cary 1 1 0
cashier 2 0 2
cashier. 1 0 1
catch 1 1 0
cause 1 1 0
caused 1 0 1
celebrate 1 1 0
celebrating 1 0 1
celebration 2 2 0
celebrations 1 1 0
celebratory 1 1 0
cellar 1 1 0
center 1 0 1
certain 1 0 1
certainly 3 0 3
chair 1 0 1
chair, 2 0 2
chair. 1 0 1
challenge 1 1 0
chance 1 1 0
change 1 1 0
charge 3 0 3
charge. 1 0 1
charged 1 0 1
charm 1 0 1
charming; 1 1 0
charred 1 1 0
check 4 0 4
check, 1 0 1
checked 2 1 1
checking 2 1 1
cheese 6 3 3
cheese) 1 0 1
cheese. 1 0 1
cheeseboard 4 4 0
cheeseboard. 1 1 0
cheesecake 1 1 0
cheeses 1 1 0
chef 7 2 5
chef's 3 0 3
chef, 1 0 1
chef-in-training 1 0 1
chef. 1 0 1
chef; 1 0 1
chef? 1 0 1
chefs 6 2 4
chefs, 1 0 1
chewy 2 0 2
chewy. 2 0 2
chicken 9 6 3
chicken, 3 2 1
chickpea 2 0 2
chilaquiles 1 1 0
child-free 1 0 1
chilean 1 1 0
chili 3 3 0
chilly 1 1 0
chip 1 0 1
chipotle 1 0 1
chocolate 2 2 0
choice 3 0 3
choice, 1 0 1
choice. 1 1 0
choices 5 4 1
chomped 1 0 1
choose 3 3 0
choosing 1 1 0
chose 3 3 0
chowder, 1 1 0
chowder. 1 1 0
chugged 1 0 1
chunks 1 1 0
cinnamon 1 1 0
circumstances. 1 1 0
cities 1 0 1
citrus 1 1 0
city 1 0 1
city, 1 0 1
claimed 2 0 2
claims 1 0 1
clam 2 2 0
class. 1 0 1
classic, 1 1 0
classics. 1 0 1
classmate 1 1 0
clean 1 1 0
cleaned...anyways, 1 0 1
cleaned? 1 0 1
cleaning 1 0 1
clear 1 0 1
client 1 0 1
close 7 2 5
closed 2 0 2
closed. 1 0 1
closed... 1 0 1
clubs. 1 1 0
clue 2 1 1
coattails 1 1 0
cocktail 2 2 0
cocktail, 2 2 0
cocktails 1 1 0
coconut 2 0 2
coffee 2 1 1
coffee. 1 1 0
cold 7 3 4
cold, 1 0 1
colder 1 0 1
cole 1 1 0
colleague 1 0 1
colorless 1 0 1
comb. 1 1 0
combination 1 1 0
combinations. 1 0 1
combine 1 0 1
come 14 10 4
come. 1 1 0
comes 11 2 9
comfortable 1 1 0
comfortable, 1 1 0
comfortable. 1 1 0
comfortably. 1 1 0
coming 6 4 2
company 1 1 0
compare. 1 0 1
compete 1 0 1
competing 1 0 1
complaint. 1 0 1
complement. 1 0 1
complementary 2 1 1
complete 3 0 3
completed 1 1 0
completely 1 0 1
complicated 3 0 3
complicated) 1 0 1
complicating 1 0 1
components 5 1 4
composted 1 1 0
compote 1 1 0
concept 1 0 1
concept! 1 1 0
concerned 1 0 1
condemned 1 0 1
condescension. 1 0 1
condiment 1 0 1
confection 1 0 1
confirm 1 1 0
confrontational? 1 0 1
confusing 1 0 1
confusion 1 0 1
connoisseur, 1 1 0
conscience! 1 0 1
consider 1 1 0
considerate 1 0 1
consideration 1 0 1
considering 2 0 2
consistency 1 0 1
consistent 1 1 0
consistently 2 1 1
constantly 3 2 1
containing 1 0 1
contaminated 1 0 1
continue 1 0 1
convenient. 1 1 0
conversations 1 0 1
cook's 1 0 1
cooked 13 11 2
cooked!) 1 1 0
cooked, 1 0 1
cooked. 1 1 0
cooking 2 0 2
cool 3 2 1
cooler 1 0 1
copious 1 0 1
corn 2 0 2
corner 1 0 1
correct 1 0 1
cost 3 0 3
costs 2 0 2
cottage-cheese 1 0 1
could 19 9 10
couldn't 1 0 1
count 1 1 0
countries, 1 0 1
country 1 1 0
country's 1 0 1
couple 5 2 3
course 19 2 17
course, 3 0 3
course. 4 0 4
course; 1 0 1
courses 2 0 2
courses, 2 0 2
courses. 3 0 3
courteous 1 1 0
courtyard 1 1 0
covid 1 1 0
coworkers, 1 0 1
cozy 1 1 0
crab 8 8 0
cracked 1 1 0
cranking 1 0 1
crap 1 0 1
crappy 1 0 1
crave 1 1 0
crazy 1 1 0
cream 2 1 1
cream) 1 0 1
cream, 1 1 0
cream. 2 0 2
creamed 1 1 0
creamy 1 1 0
creamy, 1 1 0
create 1 0 1
created 1 0 1
creative 3 0 3
creative. 1 0 1
creativity 3 0 3
credit 1 1 0
crema 2 0 2
crema, 1 0 1
crew 1 1 0
crisp. 2 2 0
crispy 3 3 0
critical, 1 0 1
croque 1 0 1
croquette. 1 0 1
crossed 1 0 1
crossed! 1 1 0
crowd. 1 1 0
cruel 1 0 1
cruelty 1 0 1
crumble 2 2 0
crunchy 1 0 1
crust 1 1 0
crusted 1 1 0
cry. 1 0 1
cuisine 1 0 1
cuisine, 1 1 0
culinary 1 0 1
cup 3 2 1
curated 1 0 1
curb 1 1 0
curbside 2 2 0
curry 1 1 0
customer 2 0 2
customers 2 0 2
customers!! 1 0 1
cut 2 0 2
cute 1 1 0
dairy 1 0 1
dairy. 1 0 1
damn 1 0 1
dark 1 1 0
date 1 0 1
date. 2 2 0
daughter 2 2 0
day 6 4 2
day, 4 3 1
day. 3 2 1
days 1 1 0
de 1 0 1
dead, 1 0 1
deal! 1 0 1
deal. 1 1 0
decent 3 0 3
decent). 1 0 1
decide 1 1 0
decided 8 3 5
decision 1 0 1
declined 1 0 1
decor 6 2 4
decor, 1 1 0
decor. 1 0 1
dedicated, 1 0 1
dedication 1 0 1
deer 1 0 1
defeat! 1 1 0
defend 1 0 1
definitely 17 12 5
degree 1 0 1
delectability 1 1 0
delectable, 1 1 0
delicious 11 7 4
delicious! 3 2 1
delicious, 1 1 0
